ticker,sample_row,time,open,high,low,close,volume
TLH,1,2024-12-12,4.78,4.85,4.71,4.72,272500
TLH,2,2024-12-13,4.6,4.8,4.6,4.68,288300
TLH,3,2024-12-16,4.66,4.69,4.55,4.64,110800
TMP,1,2024-12-12,61.8,61.98,61.8,61.8,6500
TMP,2,2024-12-13,61.8,65.59,61.06,65.59,2300
TMP,3,2024-12-16,62.72,62.72,61.15,61.15,523
TMS,1,2024-12-12,40.98,41.02,40.4,41.02,5733
TMS,2,2024-12-13,39.25,41.02,39.25,41.02,1808
TMS,3,2024-12-16,39.25,41.02,39.25,41.02,5505
TMT,1,2024-12-12,7.3,7.3,7.1,7.2,25200
TMT,2,2024-12-13,7.25,7.25,7.01,7.2,1600
TMT,3,2024-12-16,7.01,7.25,6.95,7.0,5700
TN1,1,2024-12-12,9.14,9.14,9.14,9.14,2405
TN1,2,2024-12-13,9.14,9.14,9.14,9.14,0
TN1,3,2024-12-16,9.58,9.58,9.58,9.58,105
TNC,1,2024-11-06,34.96,34.96,34.96,34.96,100
TNC,2,2024-11-07,34.87,34.87,34.87,34.87,100
TNC,3,2024-11-08,34.87,34.87,34.87,34.87,0
TNH,1,2024-12-12,15.57,15.57,15.3,15.57,268503
TNH,2,2024-12-13,15.48,15.48,15.26,15.39,216365
TNH,3,2024-12-16,15.26,15.44,15.26,15.26,202889
TNI,1,2024-12-12,2.25,2.27,2.25,2.27,43000
TNI,2,2024-12-13,2.28,2.28,2.25,2.27,56400
TNI,3,2024-12-16,2.27,2.27,2.22,2.24,82200
TNT,1,2024-12-12,4.4,4.41,4.22,4.24,107900
TNT,2,2024-12-13,4.26,4.33,4.25,4.25,50400
TNT,3,2024-12-16,4.32,4.32,4.25,4.31,104100
TPB,1,2024-12-12,14.52,14.78,14.43,14.52,17363669
TPB,2,2024-12-13,14.52,14.6,14.43,14.43,4588100
TPB,3,2024-12-16,14.43,14.56,14.34,14.38,9852128
